,station_id,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration,time,hour,day,month,dayofweek,PM10_3,PM10_3B,PM10_3C,businessHours,met_station,humidity,pressure,temperature,weather,wind_direction,wind_speed,latitude,longitude
0,dongsi_aq,105.0,172.0,53.0,0.8,127.0,14.0,2018-03-31 07:00:00,7,31,3,5,,,,1,beijing_grid_303,18.0,1006.316,22.0,PARTLY_CLOUDY_DAY,160.36,10.08,39.9,116.4
1,tiantan_aq,95.0,123.0,54.0,0.9,121.0,15.0,2018-03-31 07:00:00,7,31,3,5,,,,1,beijing_grid_303,18.0,1006.316,22.0,PARTLY_CLOUDY_DAY,160.36,10.08,39.9,116.4
2,guanyuan_aq,95.0,139.0,66.0,0.8,123.0,13.0,2018-03-31 07:00:00,7,31,3,5,,,,1,beijing_grid_282,18.0,1003.7027,22.0,PARTLY_CLOUDY_DAY,154.71,11.04,39.9,116.3
3,wanshouxigong_aq,99.0,172.0,58.0,1.0,119.0,14.0,2018-03-31 07:00:00,7,31,3,5,,,,1,beijing_grid_303,18.0,1006.316,22.0,PARTLY_CLOUDY_DAY,160.36,10.08,39.9,116.4
4,aotizhongxin_aq,117.0,166.0,67.0,0.8,111.0,14.0,2018-03-31 07:00:00,7,31,3,5,,,,1,beijing_grid_304,18.0,1004.8189,22.0,PARTLY_CLOUDY_DAY,154.72,10.7,40.0,116.4
5,nongzhanguan_aq,100.0,150.0,62.0,0.8,127.0,15.0,2018-03-31 07:00:00,7,31,3,5,,,,1,chaoyang_meo,20.0,1006.4,23.2,CLEAR_DAY,207.0,2.9,39.9525,116.50083329999998
6,wanliu_aq,95.0,139.0,82.0,1.0,104.0,13.0,2018-03-31 07:00:00,7,31,3,5,,,,1,hadian_meo,19.0,1004.8,23.7,CLEAR_DAY,191.0,1.6,39.98694444,116.29055559999999
7,beibuxinqu_aq,104.0,236.0,75.0,0.9,98.0,9.0,2018-03-31 07:00:00,7,31,3,5,,,,1,beijing_grid_263,17.0,987.77,23.0,PARTLY_CLOUDY_DAY,149.35,12.66,40.1,116.2
8,zhiwuyuan_aq,,,,,,,2018-03-31 07:00:00,7,31,3,5,,,,1,beijing_grid_262,17.0,997.1918,22.0,PARTLY_CLOUDY_DAY,147.61,12.7,40.0,116.2
9,fengtaihuayuan_aq,111.0,162.0,65.0,0.9,119.0,13.0,2018-03-31 07:00:00,7,31,3,5,,,,1,fengtai_meo,,,,,,,39.87027778,116.2452778
10,yungang_aq,106.0,171.0,68.0,0.9,117.0,13.0,2018-03-31 07:00:00,7,31,3,5,,,,1,beijing_grid_239,18.0,992.6489,22.0,HAZE,157.17,11.46,39.8,116.1
11,gucheng_aq,133.0,193.0,79.0,0.9,110.0,10.0,2018-03-31 07:00:00,7,31,3,5,,,,1,beijing_grid_261,18.0,1000.5882,22.0,HAZE,150.84,11.76,39.9,116.2
12,fangshan_aq,102.0,188.0,66.0,0.7,131.0,13.0,2018-03-31 07:00:00,7,31,3,5,,,,1,,,,,,,,,
13,daxing_aq,92.0,156.0,43.0,0.8,139.0,14.0,2018-03-31 07:00:00,7,31,3,5,,,,1,beijing_grid_301,18.0,1007.2863,24.0,PARTLY_CLOUDY_DAY,164.47,9.49,39.7,116.4
14,yizhuang_aq,90.0,148.0,42.0,0.9,153.0,18.0,2018-03-31 07:00:00,7,31,3,5,,,,1,beijing_grid_323,18.0,1007.508,22.0,PARTLY_CLOUDY_DAY,167.85,9.61,39.8,116.5
15,tongzhou_aq,105.0,146.0,38.0,0.7,138.0,16.0,2018-03-31 07:00:00,7,31,3,5,,,,1,beijing_grid_366,19.0,1008.5967,24.0,PARTLY_CLOUDY_DAY,171.01,9.06,39.9,116.7
16,shunyi_aq,104.0,143.0,52.0,1.0,142.0,16.0,2018-03-31 07:00:00,7,31,3,5,,,,1,shunyi_meo,19.0,1006.9,23.4,CLEAR_DAY,212.0,3.3,40.12666667,116.61527779999999
17,pingchang_aq,85.0,133.0,52.0,0.9,117.0,12.0,2018-03-31 07:00:00,7,31,3,5,,,,1,pingchang_meo,16.0,1001.3,23.5,CLEAR_DAY,172.0,3.1,40.22333333,116.21166670000001
18,mentougou_aq,96.0,169.0,75.0,0.8,120.0,11.0,2018-03-31 07:00:00,7,31,3,5,,,,1,beijing_grid_240,18.0,984.0312,24.0,HAZE,151.09,11.85,39.9,116.1
19,pinggu_aq,,,,,,,2018-03-31 07:00:00,7,31,3,5,,,,1,pinggu_meo,20.0,1006.4,23.2,CLEAR_DAY,231.0,2.9,40.16944444,117.1177778
20,huairou_aq,86.0,125.0,52.0,0.8,124.0,12.0,2018-03-31 07:00:00,7,31,3,5,,,,1,huairou_meo,19.0,1001.3,22.6,CLEAR_DAY,243.0,3.2,40.35777778,116.62694440000001
21,miyun_aq,80.0,125.0,37.0,0.7,159.0,10.0,2018-03-31 07:00:00,7,31,3,5,,,,1,miyun_meo,19.0,1001.4,23.9,Hail,232.0,3.9,40.3775,116.86416670000001
22,yanqin_aq,54.0,259.0,15.0,0.4,121.0,5.0,2018-03-31 07:00:00,7,31,3,5,,,,1,yanqin_meo,,,,,,,,
23,dingling_aq,82.0,142.0,45.0,0.9,130.0,10.0,2018-03-31 07:00:00,7,31,3,5,,,,1,beijing_grid_265,17.0,971.4509,23.0,PARTLY_CLOUDY_DAY,162.03,12.06,40.3,116.2
24,badaling_aq,,,,,,,2018-03-31 07:00:00,7,31,3,5,,,,1,beijing_grid_224,16.0,940.5282,23.0,PARTLY_CLOUDY_DAY,220.76,11.4,40.4,116.0
25,miyunshuiku_aq,92.0,133.0,27.0,0.7,169.0,9.0,2018-03-31 07:00:00,7,31,3,5,,,,1,beijing_grid_414,22.0,976.4633,24.0,PARTLY_CLOUDY_DAY,176.6,12.77,40.5,116.9
26,donggaocun_aq,136.0,150.0,49.0,1.5,143.0,33.0,2018-03-31 07:00:00,7,31,3,5,,,,1,beijing_grid_452,23.0,992.6594,23.0,CLOUDY,177.95,9.92,40.1,117.1
27,yongledian_aq,106.0,172.0,52.0,1.2,170.0,16.0,2018-03-31 07:00:00,7,31,3,5,,,,1,beijing_grid_385,18.0,1009.5254,23.0,PARTLY_CLOUDY_DAY,166.56,7.64,39.7,116.8
28,yufa_aq,121.0,183.0,53.0,0.8,141.0,17.0,2018-03-31 07:00:00,7,31,3,5,,,,1,beijing_grid_278,18.0,1008.1594,24.0,PARTLY_CLOUDY_DAY,155.39,8.59,39.5,116.3
29,liulihe_aq,105.0,163.0,45.0,0.8,137.0,6.0,2018-03-31 07:00:00,7,31,3,5,,,,1,beijing_grid_216,20.0,1000.8969,22.0,PARTLY_CLOUDY_DAY,159.45,10.63,39.6,116.0
30,qianmen_aq,107.0,153.0,64.0,0.9,120.0,17.0,2018-03-31 07:00:00,7,31,3,5,,,,1,beijing_grid_303,18.0,1006.316,22.0,PARTLY_CLOUDY_DAY,160.36,10.08,39.9,116.4
31,yongdingmennei_aq,100.0,134.0,69.0,0.9,129.0,21.0,2018-03-31 07:00:00,7,31,3,5,,,,1,beijing_grid_303,18.0,1006.316,22.0,PARTLY_CLOUDY_DAY,160.36,10.08,39.9,116.4
32,xizhimenbei_aq,114.0,147.0,89.0,0.9,95.0,17.0,2018-03-31 07:00:00,7,31,3,5,,,,1,beijing_grid_304,18.0,1004.8189,22.0,PARTLY_CLOUDY_DAY,154.72,10.7,40.0,116.4
33,nansanhuan_aq,94.0,137.0,94.0,1.0,94.0,16.0,2018-03-31 07:00:00,7,31,3,5,,,,1,beijing_grid_303,18.0,1006.316,22.0,PARTLY_CLOUDY_DAY,160.36,10.08,39.9,116.4
34,dongsihuan_aq,97.0,138.0,89.0,1.0,97.0,15.0,2018-03-31 07:00:00,7,31,3,5,,,,1,chaoyang_meo,20.0,1006.4,23.2,CLEAR_DAY,207.0,2.9,39.9525,116.50083329999998
35,dongsi_aq,99.0,171.0,41.0,0.8,148.0,13.0,2018-03-31 08:00:00,8,31,3,5,172.0,,,0,beijing_grid_303,18.0,1004.9962,23.0,PARTLY_CLOUDY_DAY,172.64,10.97,39.9,116.4
36,tiantan_aq,103.0,140.0,40.0,0.8,143.0,14.0,2018-03-31 08:00:00,8,31,3,5,123.0,,,0,beijing_grid_303,18.0,1004.9962,23.0,PARTLY_CLOUDY_DAY,172.64,10.97,39.9,116.4
37,guanyuan_aq,105.0,153.0,58.0,0.8,140.0,13.0,2018-03-31 08:00:00,8,31,3,5,139.0,,,0,beijing_grid_282,18.0,1002.7856,23.0,PARTLY_CLOUDY_DAY,166.17,11.59,39.9,116.3
38,wanshouxigong_aq,108.0,219.0,51.0,0.9,135.0,13.0,2018-03-31 08:00:00,8,31,3,5,172.0,,,0,beijing_grid_303,18.0,1004.9962,23.0,PARTLY_CLOUDY_DAY,172.64,10.97,39.9,116.4
39,aotizhongxin_aq,109.0,161.0,57.0,0.8,126.0,14.0,2018-03-31 08:00:00,8,31,3,5,166.0,,,0,beijing_grid_304,18.0,1004.1023,23.0,PARTLY_CLOUDY_DAY,166.55,10.92,40.0,116.4
40,nongzhanguan_aq,94.0,167.0,49.0,0.8,149.0,14.0,2018-03-31 08:00:00,8,31,3,5,150.0,,,0,chaoyang_meo,21.0,1005.6,23.2,CLEAR_DAY,180.0,2.3,39.9525,116.50083329999998
41,wanliu_aq,103.0,158.0,76.0,0.9,116.0,13.0,2018-03-31 08:00:00,8,31,3,5,139.0,,,0,hadian_meo,20.0,1004.0,23.8,CLEAR_DAY,194.0,1.7,39.98694444,116.29055559999999
42,beibuxinqu_aq,118.0,,80.0,0.9,99.0,9.0,2018-03-31 08:00:00,8,31,3,5,236.0,,,0,beijing_grid_263,18.0,989.7935,24.0,PARTLY_CLOUDY_DAY,153.32,13.62,40.1,116.2
43,zhiwuyuan_aq,,,,,,,2018-03-31 08:00:00,8,31,3,5,,,,0,beijing_grid_262,18.0,996.334,23.0,PARTLY_CLOUDY_DAY,154.94,12.92,40.0,116.2
44,fengtaihuayuan_aq,103.0,166.0,48.0,0.8,146.0,12.0,2018-03-31 08:00:00,8,31,3,5,162.0,,,0,fengtai_meo,,,,,,,39.87027778,116.2452778
45,yungang_aq,114.0,177.0,54.0,0.8,145.0,13.0,2018-03-31 08:00:00,8,31,3,5,171.0,,,0,beijing_grid_239,19.0,997.7174,23.0,PARTLY_CLOUDY_DAY,172.56,12.02,39.8,116.1
46,gucheng_aq,154.0,193.0,68.0,0.8,126.0,10.0,2018-03-31 08:00:00,8,31,3,5,193.0,,,0,beijing_grid_261,18.0,995.6136,23.0,PARTLY_CLOUDY_DAY,162.66,12.05,39.9,116.2
47,fangshan_aq,101.0,192.0,46.0,0.6,163.0,13.0,2018-03-31 08:00:00,8,31,3,5,188.0,,,0,,,,,,,,,
48,daxing_aq,95.0,164.0,42.0,0.8,146.0,13.0,2018-03-31 08:00:00,8,31,3,5,156.0,,,0,beijing_grid_301,18.0,1006.2797,24.0,PARTLY_CLOUDY_DAY,180.27,11.19,39.7,116.4
49,yizhuang_aq,93.0,150.0,41.0,0.8,161.0,15.0,2018-03-31 08:00:00,8,31,3,5,148.0,,,0,beijing_grid_323,18.0,1006.6077,23.0,PARTLY_CLOUDY_DAY,182.48,11.17,39.8,116.5
50,tongzhou_aq,98.0,162.0,36.0,0.8,149.0,17.0,2018-03-31 08:00:00,8,31,3,5,146.0,,,0,beijing_grid_366,18.0,1007.6439999999999,24.0,PARTLY_CLOUDY_DAY,182.84,10.37,39.9,116.7
51,shunyi_aq,102.0,156.0,58.0,1.0,137.0,16.0,2018-03-31 08:00:00,8,31,3,5,143.0,,,0,shunyi_meo,20.0,1006.2,23.4,CLEAR_DAY,210.0,3.9,40.12666667,116.61527779999999
52,pingchang_aq,98.0,147.0,68.0,0.9,109.0,12.0,2018-03-31 08:00:00,8,31,3,5,133.0,,,0,pingchang_meo,17.0,1000.6,23.6,CLEAR_DAY,171.0,1.8,40.22333333,116.21166670000001
53,mentougou_aq,97.0,166.0,61.0,0.8,140.0,11.0,2018-03-31 08:00:00,8,31,3,5,169.0,,,0,beijing_grid_240,18.0,980.4785,24.0,PARTLY_CLOUDY_DAY,157.26,12.38,39.9,116.1
54,pinggu_aq,120.0,182.0,41.0,1.5,167.0,2.0,2018-03-31 08:00:00,8,31,3,5,,,,0,pinggu_meo,22.0,1005.9,23.3,CLEAR_DAY,225.0,3.6,40.16944444,117.1177778
55,huairou_aq,91.0,146.0,62.0,0.9,114.0,14.0,2018-03-31 08:00:00,8,31,3,5,125.0,,,0,huairou_meo,20.0,1000.6,23.0,CLEAR_DAY,206.0,2.9,40.35777778,116.62694440000001
56,miyun_aq,87.0,150.0,41.0,0.8,177.0,14.0,2018-03-31 08:00:00,8,31,3,5,125.0,,,0,miyun_meo,20.0,1001.0,23.4,Hail,223.0,3.8,40.3775,116.86416670000001
57,yanqin_aq,51.0,257.0,17.0,0.4,122.0,5.0,2018-03-31 08:00:00,8,31,3,5,259.0,,,0,yanqin_meo,,,,,,,,
58,dingling_aq,94.0,145.0,61.0,1.0,123.0,12.0,2018-03-31 08:00:00,8,31,3,5,142.0,,,0,beijing_grid_265,18.0,970.7592,24.0,PARTLY_CLOUDY_DAY,160.03,13.23,40.3,116.2
59,badaling_aq,,,,,,,2018-03-31 08:00:00,8,31,3,5,,,,0,beijing_grid_224,16.0,939.8938,23.0,PARTLY_CLOUDY_DAY,206.9,11.77,40.4,116.0
60,miyunshuiku_aq,97.0,151.0,35.0,0.7,175.0,11.0,2018-03-31 08:00:00,8,31,3,5,133.0,,,0,beijing_grid_414,24.0,975.7725,24.0,CLOUDY,177.61,14.09,40.5,116.9
