id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
2970964,dongsi_aq,2018-04-23 10:00:00,10.0,42.0,23.0,0.3,104.0,2.0
2970965,tiantan_aq,2018-04-23 10:00:00,16.0,18.0,26.0,0.4,94.0,4.0
2970966,guanyuan_aq,2018-04-23 10:00:00,16.0,24.0,21.0,0.4,115.0,2.0
2970967,wanshouxigong_aq,2018-04-23 10:00:00,14.0,44.0,21.0,0.5,104.0,2.0
2970968,aotizhongxin_aq,2018-04-23 10:00:00,16.0,29.0,20.0,0.3,114.0,2.0
2970969,nongzhanguan_aq,2018-04-23 10:00:00,14.0,32.0,16.0,0.4,98.0,2.0
2970970,wanliu_aq,2018-04-23 10:00:00,18.0,26.0,16.0,0.3,117.0,2.0
2970971,beibuxinqu_aq,2018-04-23 10:00:00,15.0,45.0,15.0,0.4,112.0,2.0
2970972,zhiwuyuan_aq,2018-04-23 10:00:00,,,,,,
2970973,fengtaihuayuan_aq,2018-04-23 10:00:00,29.0,32.0,26.0,0.4,104.0,2.0
2970974,yungang_aq,2018-04-23 10:00:00,16.0,25.0,22.0,0.3,117.0,2.0
2970975,gucheng_aq,2018-04-23 10:00:00,29.0,53.0,24.0,0.4,,2.0
2970976,fangshan_aq,2018-04-23 10:00:00,17.0,45.0,26.0,0.4,115.0,2.0
2970977,daxing_aq,2018-04-23 10:00:00,15.0,47.0,22.0,0.1,98.0,2.0
2970978,yizhuang_aq,2018-04-23 10:00:00,19.0,50.0,34.0,0.4,96.0,2.0
2970979,tongzhou_aq,2018-04-23 10:00:00,9.0,24.0,12.0,0.3,115.0,2.0
2970980,shunyi_aq,2018-04-23 10:00:00,14.0,16.0,6.0,0.5,125.0,3.0
2970981,pingchang_aq,2018-04-23 10:00:00,13.0,50.0,8.0,0.2,115.0,2.0
2970982,mentougou_aq,2018-04-23 10:00:00,19.0,38.0,33.0,0.4,103.0,2.0
2970983,pinggu_aq,2018-04-23 10:00:00,18.0,,15.0,0.5,112.0,5.0
2970984,huairou_aq,2018-04-23 10:00:00,12.0,28.0,10.0,0.5,115.0,2.0
2970985,miyun_aq,2018-04-23 10:00:00,12.0,24.0,8.0,0.3,123.0,2.0
2970986,yanqin_aq,2018-04-23 10:00:00,37.0,61.0,23.0,0.5,82.0,2.0
2970987,dingling_aq,2018-04-23 10:00:00,24.0,30.0,11.0,0.3,111.0,2.0
2970988,badaling_aq,2018-04-23 10:00:00,33.0,75.0,37.0,0.4,59.0,2.0
2970989,miyunshuiku_aq,2018-04-23 10:00:00,11.0,14.0,5.0,0.3,128.0,2.0
2970990,donggaocun_aq,2018-04-23 10:00:00,13.0,63.0,,0.3,95.0,4.0
