id,station_id,time,weather,temperature,pressure,humidity,wind_speed,wind_direction
2001610,shunyi_meo,2018-03-31 07:00:00,Sunny/clear,23.4,1006.9,19.0,3.3,212.0
2001611,hadian_meo,2018-03-31 07:00:00,Sunny/clear,23.7,1004.8,19.0,1.6,191.0
2001612,yanqing_meo,2018-03-31 07:00:00,Sunny/clear,25.8,952.5,14.0,5.4,247.0
2001613,miyun_meo,2018-03-31 07:00:00,Hail,23.9,1001.4,19.0,3.9,232.0
2001614,huairou_meo,2018-03-31 07:00:00,Sunny/clear,22.6,1001.3,19.0,3.2,243.0
2001615,shangdianzi_meo,2018-03-31 07:00:00,Sunny/clear,22.7,975.1,19.0,7.1,239.0
2001616,pinggu_meo,2018-03-31 07:00:00,Sunny/clear,23.2,1006.4,20.0,2.9,231.0
2001617,tongzhou_meo,2018-03-31 07:00:00,Hail,23.4,1008.0,19.0,1.2,205.0
2001618,chaoyang_meo,2018-03-31 07:00:00,Sunny/clear,23.2,1006.4,20.0,2.9,207.0
2001619,pingchang_meo,2018-03-31 07:00:00,Sunny/clear,23.5,1001.3,16.0,3.1,172.0
2001620,zhaitang_meo,2018-03-31 07:00:00,Sunny/clear,25.6,957.8,14.0,5.3,45.0
2001621,mentougou_meo,2018-03-31 07:00:00,Sunny/clear,23.3,1000.6,18.0,3.1,76.0
2001622,beijing_meo,2018-03-31 07:00:00,Hail,23.7,1006.6,20.0,1.7,162.0
2001623,shijingshan_meo,2018-03-31 07:00:00,Sunny/clear,23.5,1002.9,17.0,2.6,198.0
2001624,fengtai,2018-03-31 07:00:00,Sunny/clear,23.9,1004.0,18.0,2.6,219.0
2001625,daxing,2018-03-31 07:00:00,Sunny/clear,23.3,1005.9,19.0,2.5,167.0
2001626,fangshan,2018-03-31 07:00:00,Sunny/clear,23.8,1004.8,12.0,1.6,243.0
2001627,xiayunling_meo,2018-03-31 07:00:00,Sunny/clear,23.0,962.9,21.0,5.1,187.0
2002491,shunyi_meo,2018-03-31 08:00:00,Sunny/clear,23.4,1006.2,20.0,3.9,210.0
2002492,hadian_meo,2018-03-31 08:00:00,Sunny/clear,23.8,1004.0,20.0,1.7,194.0
2002493,yanqing_meo,2018-03-31 08:00:00,Sunny/clear,25.2,951.8,14.0,3.3,206.0
2002494,miyun_meo,2018-03-31 08:00:00,Hail,23.4,1001.0,20.0,3.8,223.0
2002495,huairou_meo,2018-03-31 08:00:00,Sunny/clear,23.0,1000.6,20.0,2.9,206.0
2002496,shangdianzi_meo,2018-03-31 08:00:00,Sunny/clear,21.6,974.7,21.0,8.4,246.0
2002497,pinggu_meo,2018-03-31 08:00:00,Sunny/clear,23.3,1005.9,22.0,3.6,225.0
2002498,tongzhou_meo,2018-03-31 08:00:00,Hail,23.7,1007.3,20.0,2.9,187.0
2002499,chaoyang_meo,2018-03-31 08:00:00,Sunny/clear,23.2,1005.6,21.0,2.3,180.0
2002500,pingchang_meo,2018-03-31 08:00:00,Sunny/clear,23.6,1000.6,17.0,1.8,171.0
2002501,zhaitang_meo,2018-03-31 08:00:00,Sunny/clear,23.8,957.7,16.0,4.1,39.0
2002502,mentougou_meo,2018-03-31 08:00:00,Sunny/clear,23.3,999.8,19.0,2.9,284.0
2002503,beijing_meo,2018-03-31 08:00:00,Sunny/clear,23.7,1005.9,20.0,2.4,229.0
2002504,shijingshan_meo,2018-03-31 08:00:00,Hail,23.3,1002.2,18.0,3.9,202.0
2002505,fengtai,2018-03-31 08:00:00,Sunny/clear,24.2,1003.3,19.0,1.9,210.0
2002506,daxing,2018-03-31 08:00:00,Hail,23.7,1005.2,19.0,2.8,255.0
