test_id,PM2.5,PM10,O3
dongsi_aq#0,167.1,144.6,22.1
dongsi_aq#1,167.1,140.1,67.3
dongsi_aq#2,168.7,139.4,66.6
dongsi_aq#3,168.7,101.0,93.1
dongsi_aq#4,165.7,87.1,97.8
dongsi_aq#5,76.8,81.5,136.5
dongsi_aq#6,49.8,157.5,139.9
dongsi_aq#7,50.0,156.8,155.3
dongsi_aq#8,56.7,166.6,183.6
dongsi_aq#9,58.0,114.2,143.3
dongsi_aq#10,60.6,92.6,141.6
dongsi_aq#11,102.2,87.2,145.3
dongsi_aq#12,85.3,84.2,119.5
dongsi_aq#13,85.3,84.6,69.1
dongsi_aq#14,94.4,149.5,80.0
dongsi_aq#15,90.2,101.4,84.5
dongsi_aq#16,90.5,97.4,70.3
dongsi_aq#17,63.7,147.4,48.0
dongsi_aq#18,59.4,89.8,55.8
dongsi_aq#19,56.7,86.5,10.3
dongsi_aq#20,71.7,93.4,13.0
dongsi_aq#21,156.1,106.5,14.3
dongsi_aq#22,167.5,131.0,2.0
dongsi_aq#23,167.4,265.4,4.0
dongsi_aq#24,36.3,75.1,17.1
dongsi_aq#25,49.5,66.9,47.2
dongsi_aq#26,49.5,66.9,78.0
dongsi_aq#27,80.2,175.0,98.0
dongsi_aq#28,66.1,177.0,99.6
dongsi_aq#29,67.7,185.6,109.0
dongsi_aq#30,46.9,171.3,119.1
dongsi_aq#31,46.4,171.2,124.7
dongsi_aq#32,29.6,170.7,128.9
dongsi_aq#33,10.6,56.4,106.4
dongsi_aq#34,7.3,60.2,107.5
dongsi_aq#35,7.7,65.4,104.3
dongsi_aq#36,10.1,65.4,91.3
dongsi_aq#37,11.7,40.0,91.3
dongsi_aq#38,12.5,43.0,70.6
dongsi_aq#39,11.0,43.9,66.1
dongsi_aq#40,10.6,51.8,58.6
dongsi_aq#41,11.4,56.9,51.3
dongsi_aq#42,28.3,104.0,46.9
dongsi_aq#43,61.7,184.7,20.9
dongsi_aq#44,54.1,192.1,21.0
dongsi_aq#45,55.7,193.1,20.2
dongsi_aq#46,53.0,178.7,19.0
dongsi_aq#47,67.6,193.1,15.7
tiantan_aq#0,167.1,143.3,14.4
tiantan_aq#1,167.1,140.8,63.5
tiantan_aq#2,168.7,135.1,65.5
tiantan_aq#3,168.7,99.1,92.4
tiantan_aq#4,165.7,81.7,112.9
tiantan_aq#5,76.8,80.4,136.5
tiantan_aq#6,49.9,160.8,138.1
tiantan_aq#7,48.7,156.8,155.3
tiantan_aq#8,53.3,155.3,156.6
tiantan_aq#9,56.6,146.5,179.7
tiantan_aq#10,102.6,85.9,195.9
tiantan_aq#11,101.6,79.9,129.9
tiantan_aq#12,85.3,83.8,125.5
tiantan_aq#13,85.3,83.4,75.8
tiantan_aq#14,85.5,151.8,86.0
tiantan_aq#15,89.4,97.2,69.6
tiantan_aq#16,89.4,95.6,63.4
tiantan_aq#17,59.8,115.0,34.2
tiantan_aq#18,60.3,87.2,43.1
tiantan_aq#19,70.4,87.4,11.0
tiantan_aq#20,154.8,112.2,16.7
tiantan_aq#21,163.6,124.3,9.1
tiantan_aq#22,166.2,130.9,6.9
tiantan_aq#23,166.1,265.6,3.7
tiantan_aq#24,52.6,66.1,11.8
tiantan_aq#25,52.6,60.7,45.0
tiantan_aq#26,60.6,60.7,77.8
tiantan_aq#27,72.4,167.0,94.5
tiantan_aq#28,76.5,170.6,98.6
tiantan_aq#29,57.5,179.2,106.8
tiantan_aq#30,53.9,171.3,118.9
tiantan_aq#31,35.4,165.1,124.8
tiantan_aq#32,35.4,172.8,122.2
tiantan_aq#33,11.2,67.2,96.7
tiantan_aq#34,10.7,68.0,95.6
tiantan_aq#35,8.8,58.9,93.8
tiantan_aq#36,12.1,66.6,84.4
tiantan_aq#37,10.7,39.3,59.8
