City,ColID,Feature,unique values, null values,null fraction,Sentinel Value,Behavior,heuristic
Beijing,21, precipType,2,18967,0.461596,n/a,n/a,replace null values with the word 'none' (no quotes)
Beijing,26, visibility,933,18384,0.447408,-1.000000,No good data after May 6 11pm,for each station: replace null with averge of prior and subsetuqent non-null value for same station
Beijing,25, uvIndex,12,17647,0.429472,-1.000000,No good data until  Apr 22 8pm,for each station: replace null with averge of prior and subsetuqent non-null value for same station
Beijing,28, windGust,1332,17647,0.429472,-1.000000,No good data until  Apr 22 8pm,(after Apr 22 8pm) for each station: replace null with averge of prior and subsetuqent non-null value for same station
Beijing,18, ozone,9084,17262,0.420102,-100.000000,No good data until  Apr 23 10am,Everythings fine from  Apr 23 10am onward
Beijing,19, precipIntensity,629,17262,0.420102,-1.000000,No good data until  Apr 23 10am,Everythings fine from  Apr 23 10am onward
Beijing,20, precipProbability,61,17262,0.420102,-1.000000,No good data until  Apr 23 10am,Everythings fine from  Apr 23 10am onward
Beijing,22, pressure,3010,11130,0.270869,-100.000000,No good data until  Apr 23 10am,Everythings fine from  Apr 23 10am onward
Beijing,11, cloudCover,101,8153,0.198418,-1.000000,,If summary field says Foggy then set cloudCover  to 1.0; otherwise set to 0.0
Beijing,3, PM10_Concentration,646,8063,0.196228,-100.000000,zhiwuyuan_aq station should be dropppe; all others have good data for whole timespan; just some scattered holes,for each station: replace null with averge of prior and subsetuqent non-null value for same station
Beijing,4, PM25_Concentration,329,2183,0.053127,-100.000000,zhiwuyuan_aq station should be dropppe; all others have good data for whole timespan; just some scattered holes,for each station: replace null with averge of prior and subsetuqent non-null value for same station
Beijing,2, O3_Concentration,319,1934,0.047067,-100.000000,zhiwuyuan_aq station should be dropppe; all others have good data for whole timespan; just some scattered holes,for each station: replace null with averge of prior and subsetuqent non-null value for same station
Beijing,5, SO2_Concentration,79,1758,0.042784,-100.000000,zhiwuyuan_aq station should be dropppe; all others have good data for whole timespan; just some scattered holes,for each station: replace null with averge of prior and subsetuqent non-null value for same station
Beijing,1, NO2_Concentration,194,1734,0.042200,-100.000000,zhiwuyuan_aq station should be dropppe; all others have good data for whole timespan; just some scattered holes,for each station: replace null with averge of prior and subsetuqent non-null value for same station
Beijing,0, CO_Concentration,43,1713,0.041689,-1.000000,zhiwuyuan_aq station should be dropppe; all others have good data for whole timespan; just some scattered holes,for each station: replace null with averge of prior and subsetuqent non-null value for same station
Beijing,27, windBearing,360,1457,0.035459,-100.000000, good data for whole timespan; just some scattered holes,for each station: replace null with averge of prior and subsetuqent non-null value for same station
Beijing,29, windSpeed,1190,1457,0.035459,-5.000000, good data for whole timespan; just some scattered holes,for each station: replace null with averge of prior and subsetuqent non-null value for same station
Beijing,10, apparentTemperature,3634,0,0.000000,,no holes; no problem,no holes; no problem
Beijing,12, datetime,1174,0,0.000000,,no holes; no problem,no holes; no problem
Beijing,13, dewPoint,3546,0,0.000000,,no holes; no problem,no holes; no problem
Beijing,14, humidity,91,0,0.000000,,no holes; no problem,no holes; no problem
Beijing,15, icon,8,0,0.000000,,no holes; no problem,no holes; no problem
Beijing,6, id,41090,0,0.000000,,no holes; no problem,no holes; no problem
