aq_station,met_station
aotizhongxin_aq,beijing_grid_304
badaling_aq,beijing_grid_224
beibuxinqu_aq,beijing_grid_263
daxing_aq,beijing_grid_301
dingling_aq,beijing_grid_265
donggaocun_aq,beijing_grid_452
dongsi_aq,beijing_grid_303
dongsihuan_aq,chaoyang_meo
fangshan_aq,fangshan_meo
fengtaihuayuan_aq,fengtai_meo
guanyuan_aq,beijing_grid_282
gucheng_aq,beijing_grid_261
huairou_aq,huairou_meo
liulihe_aq,beijing_grid_216
mentougou_aq,beijing_grid_240
miyun_aq,miyun_meo
miyunshuiku_aq,beijing_grid_414
nansanhuan_aq,beijing_grid_303
nongzhanguan_aq,chaoyang_meo
pingchang_aq,pingchang_meo
pinggu_aq,pinggu_meo
qianmen_aq,beijing_grid_303
shunyi_aq,shunyi_meo
tiantan_aq,beijing_grid_303
tongzhou_aq,beijing_grid_366
wanliu_aq,hadian_meo
wanshouxigong_aq,beijing_grid_303
xizhimenbei_aq,beijing_grid_304
yanqin_aq,yanqin_meo
yizhuang_aq,beijing_grid_323
yongdingmennei_aq,beijing_grid_303
yongledian_aq,beijing_grid_385
yufa_aq,beijing_grid_278
yungang_aq,beijing_grid_239
zhiwuyuan_aq,beijing_grid_262
