station_id,longitude,latitude,StationType,SubType
dongsi_aq,116.417,39.929,aq,Urban
tiantan_aq,116.407,39.886,aq,Urban
guanyuan_aq,116.339,39.929,aq,Urban
wanshouxigong_aq,116.352,39.878,aq,Urban
aotizhongxin_aq,116.397,39.982,aq,Urban
nongzhanguan_aq,116.461,39.937,aq,Urban
wanliu_aq,116.287,39.987,aq,Urban
beibuxinqu_aq,116.174,40.09,aq,Urban
zhiwuyuan_aq,116.207,40.002,aq,Urban
fengtaihuayuan_aq,116.279,39.863,aq,Urban
yungang_aq,116.146,39.824,aq,Urban
gucheng_aq,116.184,39.914,aq,Urban
fangshan_aq,116.136,39.742,aq,Suburban
daxing_aq,116.404,39.718,aq,Suburban
yizhuang_aq,116.506,39.795,aq,Suburban
tongzhou_aq,116.663,39.886,aq,Suburban
shunyi_aq,116.655,40.127,aq,Suburban
pingchang_aq,116.23,40.217,aq,Suburban
mentougou_aq,116.106,39.937,aq,Suburban
pinggu_aq,117.1,40.143,aq,Suburban
huairou_aq,116.628,40.328,aq,Suburban
miyun_aq,116.832,40.37,aq,Suburban
yanqin_aq,115.972,40.453,aq,Suburban
dingling_aq,116.22,40.292,aq,Other
badaling_aq,115.988,40.365,aq,Other
miyunshuiku_aq,116.911,40.499,aq,Other
donggaocun_aq,117.12,40.1,aq,Other
yongledian_aq,116.783,39.712,aq,Other
yufa_aq,116.3,39.52,aq,Other
liulihe_aq,116,39.58,aq,Other
qianmen_aq,116.395,39.899,aq,Traffic
yongdingmennei_aq,116.394,39.876,aq,Traffic
xizhimenbei_aq,116.349,39.954,aq,Traffic
nansanhuan_aq,116.368,39.856,aq,Traffic
dongsihuan_aq,116.483,39.939,aq,Traffic
