,apparentTemperature,cloudCover,dewPoint,humidity,icon,precipType,pressure,summary,temperature,time,visibility,windBearing,windSpeed,datetime,lat,long,station_id
0,-1.74,,-0.02,0.94,fog,snow,,Foggy,0.87,1522857600,2.8,161.0,2.26,2018-04-04 09:00:00,40.12666667,116.61527779999999,shunyi_meo
1,0.87,,0.87,1.0,fog,snow,,Foggy,0.87,1522861200,2.98,163.0,1.22,2018-04-04 10:00:00,40.12666667,116.61527779999999,shunyi_meo
2,-2.78,,-0.92,0.96,clear-night,snow,1023.9,Clear,-0.32,1522864800,7.48,144.0,1.96,2018-04-04 11:00:00,40.12666667,116.61527779999999,shunyi_meo
3,-1.91,,-0.04,0.92,clear-night,rain,,Clear,1.11,1522868400,3.94,156.0,2.71,2018-04-04 12:00:00,40.12666667,116.61527779999999,shunyi_meo
4,-2.93,,-0.04,0.92,clear-night,rain,,Clear,1.11,1522872000,4.3,180.0,4.02,2018-04-04 13:00:00,40.12666667,116.61527779999999,shunyi_meo
5,-2.14,0.0,-1.33,0.93,clear-night,snow,1022.07,Clear,-0.29,1522875600,8.43,187.0,1.53,2018-04-04 14:00:00,40.12666667,116.61527779999999,shunyi_meo
6,-1.58,0.0,-0.03,0.9,clear-day,rain,,Clear,1.35,1522879200,4.23,187.0,2.66,2018-04-04 15:00:00,40.12666667,116.61527779999999,shunyi_meo
7,-0.93,0.0,-0.03,0.85,clear-day,rain,,Clear,2.22,1522882800,4.36,180.0,3.13,2018-04-04 16:00:00,40.12666667,116.61527779999999,shunyi_meo
8,-1.21,0.93,-1.04,0.89,partly-cloudy-day,snow,1021.63,Mostly Cloudy,0.49,1522886400,6.87,215.0,1.51,2018-04-04 17:00:00,40.12666667,116.61527779999999,shunyi_meo
9,-0.79,,-0.24,0.83,clear-day,rain,,Clear,2.34,1522890000,5.65,190.0,3.13,2018-04-04 18:00:00,40.12666667,116.61527779999999,shunyi_meo
10,-0.96,,-0.22,0.82,clear-day,rain,,Clear,2.58,1522893600,6.53,210.0,3.77,2018-04-04 19:00:00,40.12666667,116.61527779999999,shunyi_meo
11,0.26,0.89,-0.94,0.79,partly-cloudy-day,rain,1020.19,Mostly Cloudy,2.27,1522897200,8.4,195.0,1.94,2018-04-04 20:00:00,40.12666667,116.61527779999999,shunyi_meo
12,3.26,,-0.15,0.78,clear-day,rain,,Clear,3.26,1522900800,6.53,,,2018-04-04 21:00:00,40.12666667,116.61527779999999,shunyi_meo
13,3.5,,-0.11,0.77,clear-day,rain,,Clear,3.5,1522904400,5.87,,,2018-04-04 22:00:00,40.12666667,116.61527779999999,shunyi_meo
14,2.29,0.84,-0.62,0.71,partly-cloudy-day,rain,1017.81,Mostly Cloudy,4.27,1522908000,10.56,264.0,2.22,2018-04-04 23:00:00,40.12666667,116.61527779999999,shunyi_meo
15,2.14,0.0,0.71,0.73,clear-day,rain,,Clear,5.24,1522911600,8.05,250.0,4.02,2018-04-05 00:00:00,40.12666667,116.61527779999999,shunyi_meo
16,5.24,,0.71,0.73,clear-day,rain,,Clear,5.24,1522915200,7.84,,,2018-04-05 01:00:00,40.12666667,116.61527779999999,shunyi_meo
17,3.0,0.36,-1.05,0.61,partly-cloudy-day,rain,1016.74,Partly Cloudy,5.93,1522918800,10.56,269.0,4.01,2018-04-05 02:00:00,40.12666667,116.61527779999999,shunyi_meo
18,3.75,0.0,0.84,0.69,clear-day,rain,,Clear,6.11,1522922400,7.84,270.0,3.13,2018-04-05 03:00:00,40.12666667,116.61527779999999,shunyi_meo
19,2.71,0.0,0.92,0.74,clear-night,rain,,Clear,5.24,1522926000,6.63,260.0,3.13,2018-04-05 04:00:00,40.12666667,116.61527779999999,shunyi_meo
20,0.15,0.44,-1.68,0.7,partly-cloudy-night,rain,1018.61,Partly Cloudy,3.17,1522929600,7.77,302.0,3.21,2018-04-05 05:00:00,40.12666667,116.61527779999999,shunyi_meo
21,0.52,0.0,1.12,0.89,clear-night,rain,,Clear,2.83,1522933200,5.55,349.0,2.3,2018-04-05 06:00:00,40.12666667,116.61527779999999,shunyi_meo
22,2.19,0.0,-5.01,0.42,wind,rain,,Windy,7.17,1522936800,6.31,290.0,11.18,2018-04-05 07:00:00,40.12666667,116.61527779999999,shunyi_meo
23,0.88,0.0,-8.05,0.37,wind,rain,1020.09,Breezy,5.56,1522940400,7.39,290.0,8.02,2018-04-05 08:00:00,40.12666667,116.61527779999999,shunyi_meo
0,1.57,0.0,-8.91,0.33,wind,rain,,Breezy,6.35,1522944000,8.05,295.0,9.25,2018-04-05 09:00:00,40.12666667,116.61527779999999,shunyi_meo
1,1.92,,-11.01,0.28,wind,rain,,Breezy,6.35,1522947600,,297.0,8.04,2018-04-05 10:00:00,40.12666667,116.61527779999999,shunyi_meo
2,-2.29,,-9.34,0.4,wind,rain,1019.72,Breezy,2.88,1522951200,15.84,304.0,7.2,2018-04-05 11:00:00,40.12666667,116.61527779999999,shunyi_meo
3,0.23,,-9.57,0.33,wind,rain,,Breezy,5.24,1522954800,,304.0,8.85,2018-04-05 12:00:00,40.12666667,116.61527779999999,shunyi_meo
4,1.29,,-9.62,0.34,clear-night,rain,,Clear,5.0,1522958400,,302.0,5.1,2018-04-05 13:00:00,40.12666667,116.61527779999999,shunyi_meo
5,-2.79,,-9.74,0.4,wind,rain,1019.45,Breezy,2.63,1522962000,16.09,313.0,7.67,2018-04-05 14:00:00,40.12666667,116.61527779999999,shunyi_meo
6,-0.82,,-10.18,0.32,wind,rain,,Windy,5.0,1522965600,,317.0,11.62,2018-04-05 15:00:00,40.12666667,116.61527779999999,shunyi_meo
7,1.52,,-10.34,0.3,wind,rain,,Breezy,6.11,1522969200,,335.0,8.34,2018-04-05 16:00:00,40.12666667,116.61527779999999,shunyi_meo
8,-1.42,0.79,-9.04,0.4,partly-cloudy-day,rain,1022.41,Mostly Cloudy,3.36,1522972800,15.93,331.0,6.54,2018-04-05 17:00:00,40.12666667,116.61527779999999,shunyi_meo
9,1.14,,-9.62,0.31,wind,rain,,Breezy,6.11,1522976400,,326.0,9.69,2018-04-05 18:00:00,40.12666667,116.61527779999999,shunyi_meo
10,3.17,,-9.46,0.29,wind,rain,,Breezy,7.66,1522980000,,324.0,9.73,2018-04-05 19:00:00,40.12666667,116.61527779999999,shunyi_meo
11,0.09,0.84,-9.69,0.34,wind,rain,1024.69,Breezy and Mostly Cloudy,4.86,1522983600,16.09,328.0,7.7,2018-04-05 20:00:00,40.12666667,116.61527779999999,shunyi_meo
12,4.55,,-10.49,0.25,wind,rain,,Breezy,8.65,1522987200,,322.0,9.42,2018-04-05 21:00:00,40.12666667,116.61527779999999,shunyi_meo
13,5.57,,-12.06,0.2,wind,rain,,Breezy,9.52,1522990800,9.98,335.0,10.01,2018-04-05 22:00:00,40.12666667,116.61527779999999,shunyi_meo
14,2.37,0.79,-8.77,0.33,partly-cloudy-day,rain,1024.61,Mostly Cloudy,6.36,1522994400,15.58,326.0,6.68,2018-04-05 23:00:00,40.12666667,116.61527779999999,shunyi_meo
15,10.63,,-12.71,0.18,wind,rain,,Breezy,10.63,1522998000,9.98,342.0,10.67,2018-04-06 00:00:00,40.12666667,116.61527779999999,shunyi_meo
16,6.24,,-12.4,0.2,wind,rain,,Breezy,9.76,1523001600,9.98,324.0,8.48,2018-04-06 01:00:00,40.12666667,116.61527779999999,shunyi_meo
17,2.05,0.72,-9.44,0.31,partly-cloudy-day,rain,1025.27,Mostly Cloudy,6.38,1523005200,15.43,329.0,7.75,2018-04-06 02:00:00,40.12666667,116.61527779999999,shunyi_meo
18,3.15,,-8.72,0.3,wind,rain,,Breezy,7.66,1523008800,,300.0,9.83,2018-04-06 03:00:00,40.12666667,116.61527779999999,shunyi_meo
19,3.07,,-8.77,0.31,wind,rain,,Breezy,7.22,1523012400,,304.0,7.96,2018-04-06 04:00:00,40.12666667,116.61527779999999,shunyi_meo
20,-0.47,0.48,-9.55,0.36,partly-cloudy-night,rain,1027.31,Partly Cloudy,4.0,1523016000,16.09,311.0,6.21,2018-04-06 05:00:00,40.12666667,116.61527779999999,shunyi_meo
21,1.89,,-8.07,0.35,wind,rain,,Breezy,6.11,1523019600,,320.0,7.15,2018-04-06 06:00:00,40.12666667,116.61527779999999,shunyi_meo
22,1.59,,-9.72,0.33,clear-night,rain,,Clear,5.24,1523023200,,318.0,5.1,2018-04-06 07:00:00,40.12666667,116.61527779999999,shunyi_meo
23,-0.84,,-11.91,0.31,clear-night,rain,1026.8,Clear,3.48,1523026800,16.09,314.0,5.56,2018-04-06 08:00:00,40.12666667,116.61527779999999,shunyi_meo
0,-1.04,,-14.62,0.24,wind,rain,,Breezy,4.13,1523030400,,328.0,8.24,2018-04-06 09:00:00,40.12666667,116.61527779999999,shunyi_meo
