CO_Concentration,NO2_Concentration,O3_Concentration,PM10_Concentration,PM25_Concentration,SO2_Concentration,id,station_id,test_id,time,apparentTemperature,cloudCover,datetime,dewPoint,humidity,icon,lat,long,ozone,precipIntensity,precipProbability,precipType,pressure,summary,temperature,uvIndex,visibility,windBearing,windGust,windSpeed
,70.4,,14.3,9.9,,2941506,CD1,None,3/31/2018 7:00,5.92,0.75,3/31/2018 7:00,4.33,0.82,partly-cloudy-day,51.544219,-0.175284,-100,-1,-1,rain,998.08,Mostly Cloudy,7.23,-1,7.09,302,-10,4.57
,44.8,,8.8,8.5,,2941507,BL0,None,3/31/2018 7:00,5.84,0.75,3/31/2018 7:00,4.17,0.81,partly-cloudy-day,51.522287,-0.125848,-100,-1,-1,rain,998.07,Mostly Cloudy,7.2,-1,6.88,297,-10,4.71
,16.5,,8.9,4.8,,2941508,GR4,None,3/31/2018 7:00,5.42,0.75,3/31/2018 7:00,4.25,0.82,partly-cloudy-day,51.45258,0.070766,-100,-1,-1,rain,998,Mostly Cloudy,7.12,-1,6.23,284,-10,5.55
,-100,,10.4,9.3,,2941509,MY7,None,3/31/2018 7:00,5.89,0.75,3/31/2018 7:00,4.24,0.81,partly-cloudy-day,51.52254,-0.15459,-100,-1,-1,rain,998.08,Mostly Cloudy,7.22,-1,6.98,299,-10,4.61
,35.7,,10.5,8.6,,2941510,HV1,None,3/31/2018 7:00,5.61,0.75,3/31/2018 7:00,4.31,0.82,partly-cloudy-day,51.52078746,0.205460706,-100,-1,-1,rain,997.96,Mostly Cloudy,7.11,-1,6.79,270,-10,5.03
,48.9,,10.6,7.4,,2941511,GN3,None,3/31/2018 7:00,5.32,0.75,3/31/2018 7:00,4.19,0.81,partly-cloudy-day,51.486957,0.095111,-100,-1,-1,rain,997.99,Mostly Cloudy,7.15,-1,5.9,288,-10,5.98
,36.5,,6.6,3.8,,2941512,GR9,None,3/31/2018 7:00,5.4,0.75,3/31/2018 7:00,4.24,0.82,partly-cloudy-day,51.456357,0.040725,-100,-1,-1,rain,998.01,Mostly Cloudy,7.13,-1,6.17,286,-10,5.66
,43.3,,24.1,14.4,,2941513,LW2,None,3/31/2018 7:00,5.59,0.75,3/31/2018 7:00,4.22,0.82,partly-cloudy-day,51.474954,-0.039641,-100,-1,-1,rain,998.06,Mostly Cloudy,7.14,-1,6.43,292,-10,5.18
,57.5,,13.1,7.4,,2941514,GN0,None,3/31/2018 7:00,5.16,0.75,3/31/2018 7:00,4.11,0.81,partly-cloudy-day,51.490532,0.074003,-100,-1,-1,rain,998,Mostly Cloudy,7.17,-1,5.51,293,-10,6.54
,-100,,6.9,5.9,,2941515,KF1,None,3/31/2018 7:00,5.92,0.75,3/31/2018 7:00,4.38,0.82,partly-cloudy-day,51.52104675,-0.21349214,-100,-1,-1,rain,998.11,Mostly Cloudy,7.26,-1,7.33,308,-10,4.66
