station_id,terrain,landclass
BX9,flat,suburbs
BX1,flat,suburbs
BL0,flat,park
CD9,flat,city
CD1,flat,suburbs
CT2,flat,city
CT3,flat,city
CR8,flat,park
GN0,flat,suburbs
GR4,flat,park
GN3,flat,park
GR9,flat,suburbs
GB0,flat,suburbs
HR1,flat,park
HV1,flat,suburbs
LH0,flat,farm
KC1,flat,suburbs
KF1,flat,suburbs
LW2,flat,suburbs
RB7,flat,industrial
TD5,flat,industrial
ST5,flat,park
TH4,flat,city
MY7,flat,city
london_grid_346,flat,suburbs
london_grid_366,flat,park
london_grid_368,flat,suburbs
london_grid_388,flat,park
london_grid_408,flat,suburbs
london_grid_409,flat,suburbs
london_grid_430,flat,industrial
london_grid_451,flat,park
london_grid_452,flat,park
london_grid_472,flat,farm
